0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:57:58 +0700] "GET /GimAndFit/js/popper.min.js.map HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2018:14:57:58 +0700] "GET /GimAndFit/js/bootstrap.min.js.map HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [11/Dec/2018:15:02:24 +0700] "GET /GimAndFit/home/home.jsp HTTP/1.1" 200 21588
0:0:0:0:0:0:0:1 - - [11/Dec/2018:15:02:24 +0700] "GET /GimAndFit/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:15:02:24 +0700] "GET /GimAndFit/js/popper.min.js.map HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2018:15:02:24 +0700] "GET /GimAndFit/js/bootstrap.min.js.map HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [11/Dec/2018:15:03:07 +0700] "GET /GimAndFit/home/home.jsp HTTP/1.1" 200 21594
0:0:0:0:0:0:0:1 - - [11/Dec/2018:15:03:07 +0700] "GET /GimAndFit/js/popper.min.js.map HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2018:15:03:07 +0700] "GET /GimAndFit/js/bootstrap.min.js.map HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [11/Dec/2018:15:08:28 +0700] "GET /GimAndFit/home/home.jsp HTTP/1.1" 200 21469
0:0:0:0:0:0:0:1 - - [11/Dec/2018:15:08:28 +0700] "GET /GimAndFit/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2018:15:08:28 +0700] "GET /GimAndFit/js/popper.min.js.map HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Dec/2018:15:08:28 +0700] "GET /GimAndFit/js/bootstrap.min.js.map HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [11/Dec/2018:15:11:06 +0700] "GET /GimAndFit/home/home.jsp HTTP/1.1" 200 21530
0:0:0:0:0:0:0:1 - - [11/Dec/2018:15:11:06 +0700] "GET /GimAndFit/js/bootstrap.min.js.map HTTP/1.1" 404 1144
